DateTime,Entries,UniqueIPs
1539860703,1199,1199
1539864307,1201,1201
1539867903,1207,1207
1539871502,1211,1211
1539875120,1212,1212
1539878710,1218,1218
1539882307,1222,1222
1539885919,1224,1224
1539889504,1224,1224
1539893102,1229,1229
1539896714,1226,1226
1539900304,1229,1229
1539903905,1232,1232
1539907507,1234,1234
1539911107,1247,1247
1539914706,1245,1245
1539918308,1246,1246
1539921913,1244,1244
1539925512,1245,1245
1539929120,1248,1248
1539932713,1253,1253
1539936311,1248,1248
1539939910,1247,1247
1539943511,1247,1247
1539947100,1242,1242
1539950714,1238,1238
1539954312,1244,1244
1539957912,1248,1248
1539961503,1251,1251
1539965110,1252,1252
1539968709,1252,1252
1539972313,1256,1256
1539975917,1257,1257
1539979517,1257,1257
1539983115,1258,1258
1539986715,1255,1255
1539990310,1259,1259
1539993917,1258,1258
1539997509,1255,1255
1540001109,1252,1252
1540004720,1253,1253
1540008296,1256,1256
1540011913,1253,1253
1540015516,1250,1250
1540019107,1231,1231
1540022701,1211,1211
1540026300,1191,1191
1540029904,1191,1191
1540033509,1190,1190
1540037118,1190,1190
1540040700,1207,1207
1540044314,1230,1230
1540047897,1231,1231
1540051510,1225,1225
1540055107,1231,1231
1540058711,1230,1230
1540062312,1229,1229
1540065912,1228,1228
1540069518,1231,1231
1540073120,1233,1233
1540076713,1235,1235
1540080320,1235,1235
1540083915,1237,1237
1540087501,1238,1238
1540091117,1235,1235
1540094712,1233,1233
1540098302,1235,1235
1540101921,1234,1234
1540105523,1236,1236
1540109122,1239,1239
1540112713,1239,1239
1540116315,1239,1239
1540119927,1240,1240
1540123508,1242,1242
1540127114,1246,1246
1540130710,1249,1249
1540134313,1253,1253
1540137975,1257,1257
1540141511,1258,1258
1540145119,1261,1261
1540148710,1265,1265
1540152314,1265,1265
1540155922,1264,1264
1540159522,1265,1265
1540163115,1264,1264
1540166724,1264,1264
1540170320,1266,1266
1540173924,1267,1267
1540177511,1269,1269
1540181117,1270,1270
1540184719,1270,1270
1540188314,1273,1273
1540191912,1269,1269
1540195515,1272,1272
1540199116,1281,1281
1540202712,1277,1277
1540206300,1284,1284
1540209919,1289,1289
1540213507,1289,1289
1540217109,1291,1291
1540220705,1290,1290
1540224316,1291,1291
1540227926,1293,1293
1540231530,1295,1295
1540235122,1297,1297
1540238723,1311,1311
1540242328,1309,1309
1540245931,1307,1307
1540249533,1298,1298
1540253145,1292,1292
1540256719,1294,1294
1540260321,1293,1293
1540263941,1297,1297
1540267530,1300,1300
1540271123,1294,1294
1540274714,1282,1282
1540278335,1277,1277
1540281929,1279,1279
1540285525,1283,1283
1540289129,1290,1290
1540292714,1284,1284
1540296328,1283,1283
1540299934,1272,1272
1540303529,1273,1273
1540307116,1261,1261
1540310721,1265,1265
1540314321,1269,1269
1540317918,1266,1266
1540321525,1271,1271
1540325113,1270,1270
1540328711,1262,1262
1540332323,1263,1263
1540335923,1274,1274
1540339551,1275,1275
1540343125,1272,1272
1540346722,1275,1275
1540350321,1279,1279
1540353914,1282,1282
1540357510,1285,1285
1540361107,1289,1289
1540364711,1288,1288
1540368321,1291,1291
1540371931,1290,1290
1540375512,1293,1293
1540379123,1290,1290
1540382727,1287,1287
1540386325,1287,1287
1540389989,1287,1287
1540393511,1282,1282
1540397106,1282,1282
1540400714,1282,1282
1540404315,1283,1283
1540407924,1286,1286
1540411508,1286,1286
1540415110,1286,1286
1540418721,1286,1286
1540422317,1286,1286
1540425915,1288,1288
1540429511,1289,1289
1540433127,1290,1290
1540436707,1295,1295
1540440300,1295,1295
1540443905,1293,1293
1540447510,1293,1293
1540451146,1293,1293
1540454702,1292,1292
1540458320,1292,1292
1540461914,1295,1295
1540465507,1294,1294
1540469113,1291,1291
1540472709,1280,1280
1540476324,1270,1270
1540479907,1272,1272
1540483518,1266,1266
1540487114,1262,1262
1540490728,1264,1264
1540494323,1262,1262
1540497925,1257,1257
1540501523,1256,1256
1540505135,1255,1255
1540508727,1255,1255
1540512316,1254,1254
1540515926,1245,1245
1540519523,1242,1242
1540523105,1240,1240
1540526713,1247,1247
1540530316,1247,1247
1540533910,1244,1244
1540537514,1237,1237
1540541109,1234,1234
1540544715,1238,1238
1540548331,1242,1242
1540551928,1248,1248
1540555518,1245,1245
1540559125,1248,1248
1540562712,1243,1243
1540566307,1242,1242
1540569917,1240,1240
1540573516,1238,1238
1540577110,1245,1245
1540580704,1242,1242
1540584303,1242,1242
1540587912,1243,1243
1540591530,1240,1240
1540595119,1242,1242
1540598715,1246,1246
1540602318,1248,1248
1540605929,1252,1252
1540609510,1250,1250
1540613119,1249,1249
1540616719,1244,1244
1540620317,1241,1241
1540623916,1242,1242
1540627515,1244,1244
1540631130,1243,1243
1540634717,1248,1248
1540638315,1252,1252
1540641911,1250,1250
1540645525,1239,1239
1540649112,1210,1210
1540652711,1217,1217
1540656308,1223,1223
1540659910,1221,1221
1540663514,1227,1227
1540667113,1227,1227
1540670718,1234,1234
1540674320,1232,1232
1540677912,1234,1234
1540681503,1231,1231
1540685105,1233,1233
1540688713,1234,1234
1540692316,1236,1236
1540695919,1238,1238
1540699529,1245,1245
1540703117,1254,1254
1540706711,1260,1260
1540710314,1264,1264
1540713919,1263,1263
1540717519,1268,1268
1540721111,1272,1272
1540724703,1279,1279
1540728309,1277,1277
1540731911,1278,1278
1540735516,1287,1287
1540739114,1302,1302
1540742716,1303,1303
1540746315,1304,1304
1540749926,1306,1306
1540753514,1308,1308
1540757124,1310,1310
1540760716,1313,1313
1540764315,1316,1316
1540767917,1318,1318
1540771519,1320,1320
1540775114,1322,1322
1540778711,1327,1327
1540782317,1334,1334
1540785913,1337,1337
1540789518,1351,1351
1540793122,1370,1370
1540796713,1388,1388
1540800328,1410,1410
1540803917,1425,1425
1540807520,1444,1444
1540811114,1457,1457
